Unnamed: 0,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price
5750,40.67645857,-73.95455101,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,81.0
5751,40.74267,-73.89804,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,81.0
5752,40.65624,-73.95344,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,81.0
5753,40.83685,-73.859,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,81.0
5754,40.74052,-73.89424,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,81.0
5755,40.72301,-73.88021,Entire home,Entire home/apt,2,1.0,1 bath,1.0,0.0,81.0
5756,40.75044193,-73.97900208,Private room in rental unit,Private room,2,1.0,1 bath,1.0,1.0,81.0
5757,40.8036,-73.96409,Private room in rental unit,Private room,1,0.0,0 shared baths,1.0,1.0,81.0
5758,40.82762,-73.94213,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,81.0
5759,40.69448,-73.96404,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,81.0
5760,40.69641,-73.91917,Private room in rental unit,Private room,2,1.5,1.5 shared baths,1.0,1.0,81.0
5761,40.79964828,-73.95469666,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,81.0
5762,40.69341,-73.96319,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,81.0
5763,40.83106,-73.92168,Private room in rental unit,Private room,2,1.0,1 shared bath,2.0,2.0,81.0
5764,40.7089,-73.96561,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,81.0
5765,40.77150324,-73.94893207,Private room in rental unit,Private room,1,0.0,0 shared baths,3.0,1.0,81.0
5766,40.6482666,-73.9442024,Private room in condo,Private room,1,1.0,1 shared bath,1.0,1.0,81.0
5767,40.86677,-73.92559,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,81.0
5768,40.67770043,-73.76705021,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,81.0
5769,40.82247383,-73.95396521,Private room in rental unit,Private room,1,2.0,2 baths,1.0,1.0,81.0
